1;p1;p2;p2;22
1;p1;p3;p3;22
1;p1;p4;p4;22
1;p1;p5;p5;22
1;p2;p1;p1;22
1;p2;p3;p3;22
1;p3;p1;p1;22
1;p3;p2;p2;22
1;p3;p4;p4;22
1;p3;p5;p5;22
1;p4;p1;p1;22
1;p4;p3;p3;22
1;p5;p1;p1;22
1;p5;p3;p3;22
2;p1;p2;p2;22
2;p1;p4;p4;22
2;p1;p5;p5;22
2;p2;p1;p1;22
2;p2;p3;p3;22
2;p2;p4;p4;22
2;p2;p5;p5;22
2;p3;p2;p2;22
2;p3;p4;p4;22
2;p3;p5;p5;22
2;p4;p1;p1;22
2;p4;p2;p2;22
2;p4;p3;p3;22
2;p4;p5;p5;22
2;p5;p1;p1;22
2;p5;p2;p2;22
2;p5;p3;p3;22
2;p5;p4;p4;22
3;p1;p3;p3;22
3;p2;p3;p3;22
3;p3;p1;p1;22
3;p3;p2;p2;22
3;p3;p4;p4;22
3;p3;p5;p5;22
3;p4;p3;p3;22
3;p5;p3;p3;22
2;p2;p3;p1;50023;;new rule
1;p2;p1;p1;50023
1;p1;p2;p2;50023
3;p3;p4;p1;50022;;new rule
1;p3;p1;p1;50022
1;p1;p3;p3;50022
3;p3;p2;p5;50023;;new rule
1;p3;p5;p5;50023
2;p3;p5;p5;50023
2;p5;p3;p3;50023
1;p5;p3;p3;50023
